timestamp,station_id,line_id,co2,pm25,noise_db,humidity,temp_c,passenger_traffic,is_holiday,event_level
2025-10-01 00:00:00,S01,L4,470.21,18.17,46.78,43.62,12.35,228,0,2
2025-10-01 00:00:00,S02,L5,437.92,21.45,46.54,60.79,11.84,208,0,2
2025-10-01 00:00:00,S03,L1,416.38,11.86,45.0,40.34,11.68,209,0,2
2025-10-01 00:00:00,S04,L3,434.1,13.51,45.87,34.87,11.61,231,0,2
2025-10-01 00:00:00,S05,L2,434.15,18.15,47.08,42.74,13.03,296,0,2
2025-10-01 00:00:00,S06,L3,435.83,17.56,45.34,33.49,12.08,207,0,2
2025-10-01 00:00:00,S07,L4,439.29,24.24,46.75,63.52,11.58,293,0,2
2025-10-01 00:00:00,S08,L4,423.84,19.35,38.06,47.09,11.15,198,0,2
2025-10-01 00:00:00,S09,L2,448.48,14.04,45.9,46.71,12.52,275,0,2
2025-10-01 00:00:00,S10,L3,458.15,12.9,49.42,40.39,11.5,275,0,2
2025-10-01 00:00:00,S11,L5,456.9,23.28,42.9,41.15,12.23,231,0,2
2025-10-01 00:00:00,S12,L2,454.37,23.31,44.42,36.61,12.65,245,0,2
2025-10-01 01:00:00,S01,L1,436.86,23.47,43.38,43.14,13.74,290,0,2
2025-10-01 01:00:00,S02,L2,459.14,17.48,49.44,44.28,15.02,281,0,2
2025-10-01 01:00:00,S03,L5,466.03,8.42,43.53,60.38,14.32,188,0,2
2025-10-01 01:00:00,S04,L5,450.06,11.35,44.27,45.87,14.65,239,0,2
2025-10-01 01:00:00,S05,L5,447.03,16.99,51.13,48.57,13.92,290,0,2
2025-10-01 01:00:00,S06,L1,444.09,22.07,47.0,54.15,13.72,267,0,2
2025-10-01 01:00:00,S07,L3,448.45,18.67,44.23,54.69,14.14,278,0,2
2025-10-01 01:00:00,S08,L1,446.12,17.97,45.29,47.96,13.05,217,0,2
2025-10-01 01:00:00,S09,L4,429.57,17.59,42.37,40.79,13.08,180,0,2
2025-10-01 01:00:00,S10,L3,453.14,19.79,45.84,63.86,14.35,244,0,2
2025-10-01 01:00:00,S11,L5,492.47,19.56,47.06,44.73,12.73,296,0,2
2025-10-01 01:00:00,S12,L3,471.58,23.17,43.1,44.65,14.28,287,0,2
2025-10-01 02:00:00,S01,L5,423.57,21.04,48.36,35.91,16.55,205,0,2
2025-10-01 02:00:00,S02,L2,451.37,17.47,43.77,35.09,17.53,249,0,2
2025-10-01 02:00:00,S03,L5,462.74,116.67,43.72,45.69,14.91,297,0,2
2025-10-01 02:00:00,S04,L4,454.04,13.35,42.49,37.17,17.08,182,0,2
2025-10-01 02:00:00,S05,L3,457.81,21.7,41.94,58.07,16.16,292,0,2
2025-10-01 02:00:00,S06,L3,453.03,19.97,40.34,32.63,16.55,210,0,2
2025-10-01 02:00:00,S07,L5,446.28,19.59,41.66,48.46,16.18,190,0,2
2025-10-01 02:00:00,S08,L4,436.21,23.42,47.94,63.66,15.5,284,0,2
2025-10-01 02:00:00,S09,L5,441.05,24.0,49.82,52.87,15.32,278,0,2
2025-10-01 02:00:00,S10,L4,446.32,16.65,51.19,53.22,16.29,250,0,2
2025-10-01 02:00:00,S11,L5,460.04,21.34,46.5,36.84,15.38,291,0,2
