timestamp,station_id,line_id,co2,pm25,noise_db,humidity,temp_c,passenger_traffic,is_holiday,event_level
2025-10-07 18:00:00,S01,L1,506.42,23.22,54.05,44.54,11.85,441,0,0
2025-10-07 18:00:00,S02,L5,494.59,26.86,49.11,47.25,10.18,442,0,0
2025-10-07 18:00:00,S03,L3,446.13,16.69,40.34,45.89,9.56,257,0,0
2025-10-07 18:00:00,S04,L2,458.44,15.41,49.53,60.39,11.6,287,0,0
2025-10-07 18:00:00,S05,L4,464.06,15.93,44.73,56.61,11.41,368,0,0
2025-10-07 18:00:00,S06,L2,455.49,21.69,46.34,59.5,9.45,222,0,0
2025-10-07 18:00:00,S07,L4,471.3,17.54,47.98,69.91,9.3,333,0,0
2025-10-07 18:00:00,S08,L5,469.46,15.97,53.99,58.56,10.12,423,0,0
2025-10-07 18:00:00,S09,L2,442.61,17.0,51.28,51.13,12.5,306,0,0
2025-10-07 18:00:00,S10,L2,474.01,14.32,42.21,58.78,9.87,346,0,0
2025-10-07 18:00:00,S11,L2,462.98,13.97,46.7,46.71,10.32,309,0,0
2025-10-07 18:00:00,S12,L3,497.11,15.46,47.46,45.45,9.52,432,0,0
