timestamp,station_id,line_id,co2,pm25,noise_db,humidity,temp_c,passenger_traffic,is_holiday,event_level
2025-10-07 20:00:00,S01,L1,471.87,18.84,51.73,56.71,10.29,342,0,0
2025-10-07 20:00:00,S02,L5,483.19,18.09,48.74,67.13,11.2,442,0,0
2025-10-07 20:00:00,S03,L1,457.96,9.29,49.42,58.22,9.69,247,0,0
2025-10-07 20:00:00,S04,L3,497.49,22.36,44.2,62.17,9.03,414,0,0
2025-10-07 20:00:00,S05,L2,482.78,24.82,45.4,53.41,11.32,386,0,0
2025-10-07 20:00:00,S06,L1,469.41,16.62,52.11,49.7,10.92,395,0,0
2025-10-07 20:00:00,S07,L3,464.44,14.54,50.07,45.42,10.96,425,0,0
2025-10-07 20:00:00,S08,L4,460.93,24.28,52.83,64.29,10.15,446,0,0
2025-10-07 20:00:00,S09,L4,470.97,24.03,46.87,49.83,11.69,277,0,0
2025-10-07 20:00:00,S10,L4,488.79,19.82,53.59,44.34,9.48,390,0,0
2025-10-07 20:00:00,S11,L3,447.03,16.96,48.72,62.96,9.44,238,0,0
2025-10-07 20:00:00,S12,L2,450.7,16.41,46.02,60.49,8.65,227,0,0
