timestamp,station_id,line_id,co2,pm25,noise_db,humidity,temp_c,passenger_traffic,is_holiday,event_level
2025-10-21 19:00:00,S01,L4,475.0538104551102%,.2f,20.21774552923649%,.2f,49.930944847425955%,.2f,60.26897048060179%,.2f,10.83530128898708%,.2f,408,0,0
2025-10-21 19:00:00,S02,L3,474.84320844329534%,.2f,24.408558488409575%,.2f,52.18454734466007%,.2f,44.226326067152485%,.2f,9.747217666220271%,.2f,345,0,0
2025-10-21 19:00:00,S03,L3,445.15699989614654%,.2f,11.707321667070985%,.2f,42.3203058200987%,.2f,58.25579509766927%,.2f,8.973298102361337%,.2f,294,0,0
2025-10-21 19:00:00,S04,L2,452.3453554018172%,.2f,21.93857746702439%,.2f,45.542697828156626%,.2f,45.54964101089748%,.2f,10.028603899145237%,.2f,206,0,0
2025-10-21 19:00:00,S05,L5,450.1801341100625%,.2f,15.938350551903287%,.2f,53.05507479427765%,.2f,65.11339014494737%,.2f,7.878276684757084%,.2f,330,0,0
2025-10-21 19:00:00,S06,L1,470.8115357056478%,.2f,16.681679955892964%,.2f,47.899994705055114%,.2f,48.160140640496415%,.2f,9.398390500789247%,.2f,219,0,0
2025-10-21 19:00:00,S07,L3,448.34621715993757%,.2f,21.242833012781144%,.2f,52.0330208490523%,.2f,46.90917688810495%,.2f,10.683678475600818%,.2f,294,0,0
2025-10-21 19:00:00,S08,L5,483.67145259788583%,.2f,21.114317161050515%,.2f,52.22372535019534%,.2f,65.43992347813953%,.2f,8.872941341998416%,.2f,336,0,0
2025-10-21 19:00:00,S09,L3,471.24978603211133%,.2f,22.01791368934687%,.2f,52.164926073740574%,.2f,55.831201324000794%,.2f,8.409307414092801%,.2f,322,0,0
2025-10-21 19:00:00,S10,L3,467.58887137673537%,.2f,19.285308017797764%,.2f,46.35014701811531%,.2f,53.98330773787715%,.2f,9.516121061946738%,.2f,281,0,0
2025-10-21 19:00:00,S11,L1,479.8688743419213%,.2f,19.715843073241057%,.2f,49.4607615075485%,.2f,47.11575235406244%,.2f,11.544603335445172%,.2f,315,0,0
2025-10-21 19:00:00,S12,L1,451.6585014209346%,.2f,22.04104512401826%,.2f,45.794498636649195%,.2f,62.7278671185638%,.2f,10.774731849914424%,.2f,265,0,0
2025-10-21 19:00:00,S13,L1,490.54435462321476%,.2f,14.733424224186075%,.2f,53.97880894425453%,.2f,55.84875121429695%,.2f,9.628699633433484%,.2f,400,0,0
2025-10-21 19:00:00,S14,L5,471.95258420025664%,.2f,18.137481100356123%,.2f,46.68426807443337%,.2f,57.00884329728763%,.2f,9.456353623258035%,.2f,319,0,0
2025-10-21 19:00:00,S15,L1,487.72154010491045%,.2f,21.131333017855695%,.2f,47.69233865076909%,.2f,47.556819827779385%,.2f,9.778207684360057%,.2f,444,0,0
2025-10-21 19:00:00,S16,L4,442.7726744947389%,.2f,12.78954334640987%,.2f,47.42592694646859%,.2f,62.56703554925648%,.2f,10.427980710128416%,.2f,246,0,0
2025-10-21 19:00:00,S17,L1,446.9818572636216%,.2f,13.279686760746571%,.2f,44.24451848272915%,.2f,56.02474466685109%,.2f,9.455226299840295%,.2f,298,0,0
2025-10-21 19:00:00,S18,L1,454.8393951241143%,.2f,19.583076561271007%,.2f,51.763809104657575%,.2f,48.990253762170546%,.2f,9.546595142977704%,.2f,418,0,0
2025-10-21 19:00:00,S19,L1,469.9206737490221%,.2f,14.340213041761908%,.2f,48.86567762733267%,.2f,59.9586044926989%,.2f,10.489556751587248%,.2f,247,0,0
2025-10-21 19:00:00,S20,L5,494.73505420151844%,.2f,24.14758043772021%,.2f,49.946061367069554%,.2f,72.44031817672064%,.2f,10.011239520857767%,.2f,399,0,0
2025-10-21 19:00:00,S21,L3,466.13226516696506%,.2f,16.843922805073685%,.2f,51.16109499465808%,.2f,58.643523226580065%,.2f,12.594730263193684%,.2f,364,0,0
2025-10-21 19:00:00,S22,L3,473.084039741201%,.2f,13.700089666240284%,.2f,50.94730147830196%,.2f,48.97565531292663%,.2f,10.51556158708762%,.2f,309,0,0
2025-10-21 19:00:00,S23,L4,484.5266758632702%,.2f,7.156754898181271%,.2f,49.71317579553616%,.2f,53.33211906107663%,.2f,11.669963808594998%,.2f,447,0,0
2025-10-21 19:00:00,S24,L4,502.13417950053974%,.2f,22.182621415444768%,.2f,49.88741973003486%,.2f,45.72627798803735%,.2f,10.248537288698957%,.2f,313,0,0
2025-10-21 19:00:00,S25,L1,495.3229146899764%,.2f,21.497493245616827%,.2f,54.05667984470344%,.2f,61.609274300069316%,.2f,8.589532002956163%,.2f,366,0,0
2025-10-21 19:00:00,S26,L1,476.82740950562794%,.2f,18.83116754714531%,.2f,46.65036488545314%,.2f,49.770430712928125%,.2f,9.932148664839934%,.2f,336,0,0
2025-10-21 19:00:00,S27,L4,464.23982070652306%,.2f,26.02438291196036%,.2f,48.931403606078725%,.2f,69.97902558101201%,.2f,10.068505267706577%,.2f,366,0,0
2025-10-21 19:00:00,S28,L5,447.4831096137391%,.2f,19.42221556930954%,.2f,55.62797609667414%,.2f,63.13893178325223%,.2f,7.469096420845151%,.2f,380,0,0
2025-10-21 19:00:00,S29,L1,460.57098639432235%,.2f,9.578685698450514%,.2f,46.44163470509615%,.2f,49.11837038287831%,.2f,9.570898310953304%,.2f,289,0,0
2025-10-21 19:00:00,S30,L3,499.9545816402905%,.2f,8.220246261757225%,.2f,59.17147700912202%,.2f,42.226032499479%,.2f,10.960785761002372%,.2f,430,0,0
